ind,userId,data,date,type,currentView,item,button
6158,5fe8d26e88f0577d2608884f,Welcome,2021-01-06T00:41:55.170Z,PRE_ITEM_COMPLETE,Welcome,,next
2279,5fe8d26e88f0577d2608884f,PreIntro,2021-01-06T00:42:00.375Z,PRE_ITEM_COMPLETE,PreIntro,PreIntro,next
6390,5fe8d26e88f0577d2608884f,MeetKarel,2021-01-06T00:42:04.815Z,PRE_ITEM_COMPLETE,MeetKarel,MeetKarel,next
4807,5fe8d26e88f0577d2608884f,KarelCommandsMove,2021-01-06T00:42:09.383Z,PRE_ITEM_COMPLETE,KarelCommandsMove,KarelCommandsMove,move
2582,5fe8d26e88f0577d2608884f,KarelCommandsTurnLeft,2021-01-06T00:42:13.691Z,PRE_ITEM_COMPLETE,KarelCommandsTurnLeft,KarelCommandsTurnLeft,turn
3661,5fe8d26e88f0577d2608884f,KarelCommandsPickStone,2021-01-06T00:42:19.765Z,PRE_ITEM_COMPLETE,KarelCommandsPickStone,KarelCommandsPickStone,pick
2308,5fe8d26e88f0577d2608884f,KarelCommandsPlaceStone,2021-01-06T00:42:26.307Z,PRE_ITEM_COMPLETE,KarelCommandsPlaceStone,KarelCommandsPlaceStone,place
5858,5fe8d26e88f0577d2608884f,CommandsA,2021-01-06T00:42:40.249Z,PRE_ITEM_COMPLETE,CommandsA,CommandsA,not tracked
4353,5fe8d26e88f0577d2608884f,CommandsB,2021-01-06T00:42:51.312Z,PRE_ITEM_COMPLETE,CommandsB,CommandsB,not tracked
6510,5fe8d26e88f0577d2608884f,FirstProgram,2021-01-06T00:43:07.162Z,PRE_ITEM_COMPLETE,FirstProgram,FirstProgram,run
2387,5fe8d26e88f0577d2608884f,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move""><next><block type=""karel_move""><next><block type=""karel_move""></block></next></block></next></block></statement></block></xml>",2021-01-06T00:43:10.596Z,UPDATE_CODE_move,ModifyMoves,ModifyMoves,
5478,5fe8d26e88f0577d2608884f,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move""><next><block type=""karel_move""><next><block type=""karel_move""></block></next></block></next></block></statement></block></xml>",2021-01-06T00:43:10.610Z,UPDATE_CODE_move,ModifyMoves,ModifyMoves,
956,5fe8d26e88f0577d2608884f,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move""><next><block type=""karel_move""><next><block type=""karel_move""></block></next></block></next></block></statement></block></xml>",2021-01-06T00:43:10.612Z,UPDATE_CODE_move,ModifyMoves,ModifyMoves,
7098,5fe8d26e88f0577d2608884f,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move""><next><block type=""karel_move""><next><block type=""karel_move""><next><block type=""karel_move""></block></next></block></next></block></next></block></statement></block></xml>",2021-01-06T00:43:11.575Z,UPDATE_CODE_move,ModifyMoves,ModifyMoves,
