,userId,data,date,type,currentView,item
21,5f908c63832d32168d6d8f31,successful,2021-01-06T00:43:50.923Z,RUN_DONE,CommandsMLMR,Basic Commands
254,chidera933,successful,2021-01-06T01:44:31.322Z,RUN_DONE,ModifyMoves,ModifyMoves
290,5f908c63832d32168d6d8f31,successful,2021-01-06T00:44:02.134Z,RUN_DONE,CommandsMLMR,Basic Commands
330,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:59:28.207Z,RUN_DONE,ModifyMoves,ModifyMoves
392,5e9b725d85157c0816f1f0dd,successful,2021-01-06T01:01:53.497Z,RUN_DONE,RepeatL2PlaceRow,Repeat
552,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:44:29.237Z,RUN_DONE,ModifyMoves,ModifyMoves
640,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:55:56.265Z,RUN_DONE,RepeatL3Corner9,Combine
797,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:42:49.010Z,RUN_DONE,MethodsStepUp,Function
803,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:46:19.471Z,RUN_DONE,RepeatL2PlaceRow,Repeat
920,5d4957bc034616000180b907,successful,2021-01-06T00:46:59.768Z,RUN_DONE,MethodsStepUp,Function
992,5d4957bc034616000180b907,successful,2021-01-06T01:03:05.436Z,RUN_DONE,Checker,Challenge
1002,5fe8d26e88f0577d2608884f,successful,2021-01-06T01:04:25.991Z,RUN_DONE,Checker,Challenge
1379,5d4957bc034616000180b907,successful,2021-01-06T00:52:48.034Z,RUN_DONE,RepeatL3Corner9,Combine
1441,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:48:09.981Z,RUN_DONE,CommandsMLMR,Basic Commands
1470,5fe7673ee14422582703e754,successful,2021-01-06T01:13:35.098Z,RUN_DONE,CommandsMLMR,Basic Commands
1775,5e9b725d85157c0816f1f0dd,successful,2021-01-06T01:00:14.366Z,RUN_DONE,MethodsStepUp,Function
1786,5d4957bc034616000180b907,successful,2021-01-06T00:43:55.072Z,RUN_DONE,ModifyMoves,ModifyMoves
2077,5e9b725d85157c0816f1f0dd,successful,2021-01-06T01:03:02.279Z,RUN_DONE,RepeatL3Corner9,Combine
2305,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:59:55.628Z,RUN_DONE,CommandsMLMR,Basic Commands
2450,chidera933,successful,2021-01-06T01:46:59.463Z,RUN_DONE,MethodsStepUp,Function
2568,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:54:44.055Z,RUN_DONE,RepeatL3Corner9,Combine
2632,chidera933,successful,2021-01-06T01:46:11.696Z,RUN_DONE,CommandsMLMR,Basic Commands
2778,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:48:38.796Z,RUN_DONE,MethodsStepUp,Function
2882,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:40:54.789Z,RUN_DONE,ModifyMoves,ModifyMoves
3237,chidera933,successful,2021-01-06T01:50:25.625Z,RUN_DONE,RepeatL2PlaceRow,Repeat
3400,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:43:30.380Z,RUN_DONE,ModifyMoves,ModifyMoves
3526,5fe7673ee14422582703e754,successful,2021-01-06T01:15:05.606Z,RUN_DONE,MethodsStepUp,Function
3550,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:46:18.325Z,RUN_DONE,MethodsStepUp,Function
3986,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:52:11.219Z,RUN_DONE,RepeatL2PlaceRow,Repeat
4018,5d4957bc034616000180b907,successful,2021-01-06T00:45:15.634Z,RUN_DONE,CommandsMLMR,Basic Commands
4490,5fe7673ee14422582703e754,successful,2021-01-06T01:21:08.145Z,RUN_DONE,RepeatL2PlaceRow,Repeat
4670,5f908c63832d32168d6d8f31,successful,2021-01-06T00:41:38.443Z,RUN_DONE,ModifyMoves,ModifyMoves
4984,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:47:53.080Z,RUN_DONE,RepeatL3Corner9,Combine
5701,mario2,successful,2021-01-01T19:47:58.143Z,RUN_DONE,Checker,Challenge
5937,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:44:58.731Z,RUN_DONE,CommandsMLMR,Basic Commands
6180,mario2,successful,2021-01-01T19:39:05.958Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6345,5d4957bc034616000180b907,successful,2021-01-06T00:50:28.332Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6383,5fe8d26e88f0577d2608884f,successful,2021-01-06T00:51:42.519Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6566,5fe7673ee14422582703e754,successful,2021-01-06T01:10:53.260Z,RUN_DONE,ModifyMoves,ModifyMoves
6681,2bb6971a-663e-4d68-a5e4-2b440468d3f1,successful,2021-01-06T00:18:54.757Z,RUN_DONE,ModifyMoves,ModifyMoves
6886,5f908c63832d32168d6d8f31,successful,2021-01-06T00:49:10.192Z,RUN_DONE,MethodsStepUp,Function
7009,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:41:51.281Z,RUN_DONE,CommandsMLMR,Basic Commands
