StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q7,Q6,Q13,Q14,Q1,Q5,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q12,userIdKarel
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How much did you enjoy the programming activity?,How mentally demanding was the Karel programming activity for you?,How many of the programming problems have you been able to solve?,If you haven't solved all 5 problems: What was the issue with the ones that you have not been able to solve in time?,How do you estimate your programming experience?,"On a scale from 1 to 5, how do you estimate your programming experience?","How many computer science courses, semesters or tutorials have you taken before (in compulsory school, at a university or elsewhere)?","Please rate your level of competence with the following programming languages?
Circle one number for each language/group of languages. Use the following scale:

					1. Never programmed in this language.

2. Minimal experience. Maybe compiled a test program.

3. Some experience. Wrote one or two small programs.

4. Substantial experience. Wrote several small to medium-sized programs.

				
			
			
				
					5. Extensive experience. Wrote many programs. - C++ or Java","Please rate your level of competence with the following programming languages?
Circle one number for each language/group of languages. Use the following scale:

					1. Never programmed in this language.

2. Minimal experience. Maybe compiled a test program.

3. Some experience. Wrote one or two small programs.

4. Substantial experience. Wrote several small to medium-sized programs.

				
			
			
				
					5. Extensive experience. Wrote many programs. - Visual Basic","Please rate your level of competence with the following programming languages?
Circle one number for each language/group of languages. Use the following scale:

					1. Never programmed in this language.

2. Minimal experience. Maybe compiled a test program.

3. Some experience. Wrote one or two small programs.

4. Substantial experience. Wrote several small to medium-sized programs.

				
			
			
				
					5. Extensive experience. Wrote many programs. - Python, Perl or other scripting based languages","Please rate your level of competence with the following programming languages?
Circle one number for each language/group of languages. Use the following scale:

					1. Never programmed in this language.

2. Minimal experience. Maybe compiled a test program.

3. Some experience. Wrote one or two small programs.

4. Substantial experience. Wrote several small to medium-sized programs.

				
			
			
				
					5. Extensive experience. Wrote many programs. - Javascript, HTML, ASP or other web based languages",Do you have some other questions or comments? Please let us know:,userIdKarel
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""userIdKarel""}"
1/8/21 12:04,1/8/21 12:05,IP Address,37.189.207.195,100,94,TRUE,1/8/21 12:05,R_2V28h7RcerXu2gg,,,,,41.30059814,-7.744094849,anonymous,EN,A little,Very demanding,1 problem,i didn't understand why the turtle would go in front and i couldn't give her any other orders,I have never programmed before.,,,,,,,,5ca8c84e92fdc200129e9db3
1/8/21 12:14,1/8/21 12:14,IP Address,89.115.154.134,100,37,TRUE,1/8/21 12:14,R_21gOHcGoF00RGOx,,,,,38.71670532,-9.133300781,anonymous,EN,A great deal,Slightly demanding,All 5 problems,,I have programmed before.,3,2,1,1,3,1,,5d694784be10f9001511d7a3
1/8/21 12:34,1/8/21 12:37,IP Address,89.212.112.47,100,174,TRUE,1/8/21 12:37,R_1kYPXn1QvPsiCOo,,,,,46.230896,15.26040649,anonymous,EN,A great deal,Moderately demanding,All 5 problems,"Solved all 5 but I would like to point out there was an issue in the 5th case where it was automatically going into the functions even when I removed them from main. I deleted all and restarted, then it worked fine",I have programmed before.,3,4 or more,3,2,3,5,"Very fun and interesting task, keep them up and you will inspire many more for programming careers! :)",5e4c214a69cc03000caf6259
1/8/21 12:40,1/8/21 12:46,IP Address,5.90.75.135,100,376,TRUE,1/8/21 12:46,R_2E6wOuouHSA7lc8,,,,,43.14790344,12.10969543,anonymous,EN,A lot,Moderately demanding,4 problems,I would be able to solve it if I could have much more time. ,I have never programmed before.,,,,,,,,5f512f610a752a32cf96d74f
1/8/21 14:03,1/8/21 14:04,IP Address,93.34.151.0,100,74,TRUE,1/8/21 14:04,R_2aREjFh5yMNimT9,,,,,45.07049561,7.686798096,anonymous,EN,A moderate amount,Very demanding,4 problems,Figure out too late how to fix errors with 5th one,I have never programmed before.,,,,,,,,5eda126ec6a418029cb19e91
1/9/21 3:41,1/9/21 3:42,IP Address,212.216.191.125,100,38,TRUE,1/9/21 3:42,R_1mW2wT32AyG6O3d,,,,,41.89190674,12.51130676,anonymous,EN,A great deal,Slightly demanding,All 5 problems,,I have programmed before.,3,2,1,1,4,4,,5c44ad201ddd660001ca00b0
1/9/21 3:42,1/9/21 3:43,IP Address,79.73.122.247,100,109,TRUE,1/9/21 3:43,R_bDBBCaBfI3qAyKB,,,,,52.33439636,-0.598403931,anonymous,EN,A lot,Moderately demanding,2 problems,"wasn't sure how to get a stohne when there wasn't one there, also not clear how to define turn right in terms of multiple turns left would have been good to have an example of that",I have programmed before.,3,4 or more,1,5,4,1,it was an interesting experience but I would include much more training material before the tasks,5c28efb626e55d0001a685b1
1/9/21 3:49,1/9/21 3:50,IP Address,193.136.33.109,100,88,TRUE,1/9/21 3:50,R_10UahCD41taB17P,,,,,41.14959717,-8.610992432,anonymous,EN,A great deal,Very demanding,4 problems,"The last one I got distracted and inserted the command to return to the start in the repeat loop, having just realized it at the end",I have programmed before.,2,1,1,3,1,1,,5c102d91e32f860001651a93
