item,Basic Commands,Challenge,Combine,Function,Repeat,Basic Commands2,Challenge3,Combine4,Function5,Repeat6,Basic Commands7,Challenge8,Combine9,Function10,Repeat11,Basic Commands12,Challenge13,Combine14,Function15,Repeat16,Basic Commands17,Challenge18,Combine19,Function20,Repeat21,Basic Commands22,Challenge23,Combine24,Function25,Repeat26,Basic Commands27,Challenge28,Combine29,Function30,Repeat31
userId,actions,actions,actions,actions,actions,attempts,attempts,attempts,attempts,attempts,success,success,success,success,success,time_success,time_success,time_success,time_success,time_success,time_first,time_first,time_first,time_first,time_first,timedout,timedout,timedout,timedout,timedout,examples,examples,examples,examples,examples
59dbee057f3d71000171d37d,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5b80b3ba16aa4400016a75ef,24,1290,93,27,129,0,12,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,49.222,0,79.561,47.114,147.363,2.028,0,14.479,0.062,12.259,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
5b914a5f02a76000015c72d4,48,0,0,42,210,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,105.817,0,0,178.138,0,16.181,0,0,0.106,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
5bc2e0ec4f3bfd00012e97b5,21,465,192,189,537,9,45,36,0,138,TRUE,FALSE,TRUE,FALSE,TRUE,77.935,0,240.074,0,1128.873,2.631,0,12.328,0,5.715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5c102d91e32f860001651a93,51,1437,72,18,39,0,6,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,34.435,0,87.68,29.903,92.551,9.204,0,15.153,0.081,11.463,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5c28efb626e55d0001a685b1,18,0,0,189,333,0,0,0,0,9,TRUE,FALSE,FALSE,TRUE,FALSE,38.148,0,0,185.429,0,9.269,0,0,0.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
5c44ad201ddd660001ca00b0,30,552,270,24,129,0,0,3,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,19.247,401.414,160.467,22.625,166.319,5.806,24.538,6.397,0.06,10.742,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5c7fb04093cdce00160adf49,36,357,69,120,357,3,27,21,0,48,TRUE,TRUE,TRUE,TRUE,TRUE,51.866,1007.652,425.174,172.934,499.968,6.815,7.287,254.222,0.172,9.119,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
5ca8c84e92fdc200129e9db3,63,0,0,120,0,21,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,99.96,0,0,0,0,2.612,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
