index,userId,data,date,type,currentView,item
6681,2bb6971a-663e-4d68-a5e4-2b440468d3f1,successful,2021-01-06T00:18:54.757Z,RUN_DONE,ModifyMoves,ModifyMoves
1786,5d4957bc034616000180b907,successful,2021-01-06T00:43:55.072Z,RUN_DONE,ModifyMoves,ModifyMoves
4018,5d4957bc034616000180b907,successful,2021-01-06T00:45:15.634Z,RUN_DONE,CommandsMLMR,Basic Commands
920,5d4957bc034616000180b907,successful,2021-01-06T00:46:59.768Z,RUN_DONE,MethodsStepUp,Function
106,5d4957bc034616000180b907,unsuccessful,2021-01-06T00:48:51.328Z,RUN_DONE,RepeatL2PlaceRow,Repeat
4136,5d4957bc034616000180b907,unsuccessful,2021-01-06T00:49:22.672Z,RUN_DONE,RepeatL2PlaceRow,Repeat
4467,5d4957bc034616000180b907,unsuccessful,2021-01-06T00:49:57.515Z,RUN_DONE,RepeatL2PlaceRow,Repeat
6345,5d4957bc034616000180b907,successful,2021-01-06T00:50:28.332Z,RUN_DONE,RepeatL2PlaceRow,Repeat
1337,5d4957bc034616000180b907,unsuccessful,2021-01-06T00:52:24.063Z,RUN_DONE,RepeatL3Corner9,Combine
1379,5d4957bc034616000180b907,successful,2021-01-06T00:52:48.034Z,RUN_DONE,RepeatL3Corner9,Combine
6855,5d4957bc034616000180b907,unsuccessful,2021-01-06T00:59:20.394Z,RUN_DONE,Checker,Challenge
2841,5d4957bc034616000180b907,unsuccessful,2021-01-06T01:01:59.341Z,RUN_DONE,Checker,Challenge
992,5d4957bc034616000180b907,successful,2021-01-06T01:03:05.436Z,RUN_DONE,Checker,Challenge
6723,5d78647e4dadc9001a3e34dd,unsuccessful,2021-01-06T00:44:20.062Z,RUN_DONE,ModifyMoves,ModifyMoves
552,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:44:29.237Z,RUN_DONE,ModifyMoves,ModifyMoves
5674,5d78647e4dadc9001a3e34dd,unsuccessful,2021-01-06T00:46:54.491Z,RUN_DONE,CommandsMLMR,Basic Commands
1441,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:48:09.981Z,RUN_DONE,CommandsMLMR,Basic Commands
2778,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:48:38.796Z,RUN_DONE,MethodsStepUp,Function
2501,5d78647e4dadc9001a3e34dd,unsuccessful,2021-01-06T00:51:47.003Z,RUN_DONE,RepeatL2PlaceRow,Repeat
3986,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:52:11.219Z,RUN_DONE,RepeatL2PlaceRow,Repeat
1955,5d78647e4dadc9001a3e34dd,unsuccessful,2021-01-06T00:52:33.598Z,RUN_DONE,RepeatL3Corner9,Combine
3027,5d78647e4dadc9001a3e34dd,unsuccessful,2021-01-06T00:54:40.490Z,RUN_DONE,RepeatL3Corner9,Combine
640,5d78647e4dadc9001a3e34dd,successful,2021-01-06T00:55:56.265Z,RUN_DONE,RepeatL3Corner9,Combine
1645,5d78647e4dadc9001a3e34dd,unsuccessful,2021-01-06T00:58:41.334Z,RUN_DONE,Checker,Challenge
4735,5d78647e4dadc9001a3e34dd,unsuccessful,2021-01-06T01:05:19.681Z,RUN_DONE,Checker,Challenge
2882,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:40:54.789Z,RUN_DONE,ModifyMoves,ModifyMoves
7009,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:41:51.281Z,RUN_DONE,CommandsMLMR,Basic Commands
797,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:42:49.010Z,RUN_DONE,MethodsStepUp,Function
2823,5e9b725d85157c0816f1f0dd,unsuccessful,2021-01-06T00:44:09.872Z,RUN_DONE,RepeatL2PlaceRow,Repeat
434,5e9b725d85157c0816f1f0dd,unsuccessful,2021-01-06T00:44:29.313Z,RUN_DONE,RepeatL2PlaceRow,Repeat
354,5e9b725d85157c0816f1f0dd,unsuccessful,2021-01-06T00:45:55.297Z,RUN_DONE,RepeatL2PlaceRow,Repeat
803,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:46:19.471Z,RUN_DONE,RepeatL2PlaceRow,Repeat
4984,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:47:53.080Z,RUN_DONE,RepeatL3Corner9,Combine
330,5e9b725d85157c0816f1f0dd,successful,2021-01-06T00:59:28.207Z,RUN_DONE,ModifyMoves,ModifyMoves
