,userId,data,date,type,currentView,item
111,47a8f09b-c74c-4d57-a382-9bdcca962df7,RepeatL2StepUpGood,2021-01-11T16:27:00.784Z,UPDATE_CURRENT_VIEW,RepeatL2PlaceRow,Repeat
292,47a8f09b-c74c-4d57-a382-9bdcca962df7,MethodsTurnAroundGood,2021-01-11T16:26:39.860Z,UPDATE_CURRENT_VIEW,MethodsTurnAroundBad,Function
423,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move""><next><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></next></block></next></block></next></block></statement></block></xml>",2021-01-11T16:25:50.920Z,UPDATE_CODE_move,CommandsMLMR,Basic Commands
425,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""procedures_callnoargsnoreturn""><mutation name=""place 4 stones""></mutation><next><block type=""karel_move""><next><block type=""karel_move""><next><block type=""procedures_callnoargsnoreturn""><mutation name=""place 4 stones""></mutation></block></next></block></next></block></next></block></statement></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""180""><field name=""NAME"">place 4 stones</field><statement name=""STACK""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">4</field></shadow></value><statement name=""DO""><block type=""karel_place_stone""></block></statement></block></statement></block></xml>",2021-01-11T16:32:17.072Z,UPDATE_CODE_move,RepeatL3Corner9,Combine
431,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_move""><next><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></next></block></next></block></next></block></statement></block></xml>",2021-01-11T16:25:50.922Z,UPDATE_CODE_move,CommandsMLMR,Basic Commands
443,47a8f09b-c74c-4d57-a382-9bdcca962df7,RepeatL2PlaceRow,2021-01-11T16:27:42.151Z,UPDATE_CURRENT_VIEW,RepeatL2StepUpGood,Repeat
789,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">4</field></shadow></value></block></statement></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""151""><field name=""NAME"">my name</field><statement name=""STACK""><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></statement></block></xml>",2021-01-11T16:28:11.408Z,UPDATE_CODE_move,RepeatL2PlaceRow,Repeat
804,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""procedures_callnoargsnoreturn""><mutation name=""place 4 stones""></mutation><next><block type=""karel_move""><next><block type=""karel_move""><next><block type=""procedures_callnoargsnoreturn""><mutation name=""place 4 stones""></mutation><next><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""karel_move""><next><block type=""procedures_callnoargsnoreturn""><mutation name=""place 4 stones""></mutation><next><block type=""karel_turn_left""><next><block type=""karel_move""></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></statement></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""330""><field name=""NAME"">place 4 stones</field><statement name=""STACK""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">4</field></shadow></value><statement name=""DO""><block type=""karel_place_stone""></block></statement></block></statement></block></xml>",2021-01-11T16:32:38.112Z,UPDATE_CODE_move,RepeatL3Corner9,Combine
822,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">4</field></shadow></value><statement name=""DO""><block type=""karel_turn_left""><next><block type=""procedures_callnoargsnoreturn""><mutation name=""turn right""></mutation></block></next></block></statement></block></statement></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""182""><field name=""NAME"">turn right</field><statement name=""STACK""><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></statement></block></xml>",2021-01-11T16:28:25.221Z,UPDATE_CODE_move,RepeatL2PlaceRow,Repeat
917,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""karel_turn_left""><next><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">4</field></shadow></value><statement name=""DO""><block type=""karel_move""><next><block type=""procedures_callnoargsnoreturn""><mutation name=""turn right""></mutation><next><block type=""karel_move""><next><block type=""procedures_callnoargsnoreturn""><mutation name=""turn right""></mutation><next><block type=""karel_move""><next><block type=""karel_place_stone""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></statement></block></next></block></statement></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""357""><field name=""NAME"">turn right</field><statement name=""STACK""><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></statement></block></xml>",2021-01-11T16:30:09.131Z,BUTTON_CLICK_run,RepeatL2PlaceRow,Repeat
1126,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">4</field></shadow></value><statement name=""DO""><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""procedures_callnoargsnoreturn""><mutation name=""turn right""></mutation></block></next></block></next></block></statement></block></statement></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""207""><field name=""NAME"">turn right</field><statement name=""STACK""><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></statement></block></xml>",2021-01-11T16:28:28.195Z,UPDATE_CODE_move,RepeatL2PlaceRow,Repeat
1209,47a8f09b-c74c-4d57-a382-9bdcca962df7,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">my name</field></block></xml>",2021-01-11T16:31:23.520Z,UPDATE_CODE_move,RepeatL3Corner9,Combine
