,date,item
50,2021-01-08T21:59:46.243Z,Challenge
59,2021-01-08T20:02:30.595Z,Function
60,2021-01-08T20:38:58.577Z,Challenge
63,2021-01-08T20:32:30.211Z,Challenge
70,2021-01-08T20:11:42.115Z,Challenge
76,2021-01-08T20:06:11.019Z,Challenge
85,2021-01-08T18:01:44.425Z,Repeat
91,2021-01-08T19:57:26.653Z,Function
94,2021-01-08T20:27:10.861Z,Challenge
104,2021-01-08T20:16:03.548Z,Challenge
107,2021-01-08T20:15:26.194Z,Challenge
110,2021-01-08T20:03:50.760Z,Function
116,2021-01-08T20:14:55.882Z,Challenge
117,2021-01-08T19:58:24.708Z,Function
119,2021-01-08T21:54:56.905Z,Challenge
129,2021-01-08T18:09:01.672Z,PreIntro
151,2021-01-08T19:59:25.830Z,Function
156,2021-01-08T20:12:33.581Z,Challenge
160,2021-01-08T20:21:10.930Z,Challenge
162,2021-01-08T10:38:23.388Z,Function
175,2021-01-08T20:01:11.624Z,Repeat
186,2021-01-08T20:15:19.663Z,Challenge
196,2021-01-08T19:52:59.920Z,Function
202,2021-01-08T18:38:55.416Z,CommandsB
217,2021-01-08T20:02:47.641Z,Function
218,2021-01-08T18:06:27.269Z,Function
219,2021-01-08T20:10:27.944Z,Challenge
221,2021-01-08T20:36:18.361Z,Challenge
223,2021-01-08T21:52:50.338Z,Challenge
227,2021-01-08T18:43:41.340Z,Combine
239,2021-01-08T17:37:39.388Z,KarelCommandsPickStone
241,2021-01-08T17:32:00.137Z,Basic Commands
261,2021-01-08T10:54:30.845Z,Function
296,2021-01-08T16:34:34.596Z,Function
297,2021-01-08T19:55:34.136Z,Repeat
300,2021-01-08T20:12:19.365Z,Repeat
303,2021-01-08T20:12:05.186Z,Challenge
305,2021-01-08T20:34:38.114Z,Challenge
313,2021-01-08T11:01:55.873Z,Function
326,2021-01-08T21:27:50.241Z,Function
331,2021-01-08T18:31:24.785Z,
342,2021-01-08T20:05:48.715Z,Challenge
344,2021-01-08T21:31:46.285Z,Repeat
